Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,18.634463548
0.0,0.0,18.744629383
0.0,0.0,18.855238676
0.0,0.0,18.968471288
0.0,0.0,19.07543993
0.0,0.0,19.186064243
0.0,0.0,19.294790029
0.0,0.0,19.408751964
0.0,0.0,19.514349222
0.0,0.0,19.655916214
0.0,0.0,19.763457775
0.0,0.0,19.878219366
0.0,0.0,20.016996145
0.0,0.0,20.141281843
0.0,0.0,20.283888101
0.0,0.0,20.401787758
0.0,0.0,20.537008047
0.0,0.0,20.694265365
0.0,0.0,20.828395128
0.0,0.0,20.963832616
0.0,0.0,21.080613136
0.0,0.0,21.256484985
0.0,0.0,21.378881931
0.0,0.0,21.493372678
0.0,0.0,21.624198198
0.0,0.0,21.738220453
0.0,0.0,21.868731498
0.0,0.0,21.988285064
0.0,0.0,22.140807151
0.0,0.0,22.280494213
0.0,0.0,22.432438135
0.0,0.0,22.542530536
0.0,0.0,22.656138897
0.0,0.0,22.786060571
0.0,0.0,22.899279594
0.0,0.0,23.029607057
0.0,0.0,23.140733718
0.0,0.0,23.260186195
0.0,0.0,23.403258085
0.0,0.0,23.52473092
0.0,0.0,23.675226926
0.0,0.0,23.793193578
0.0,0.0,23.925312996
0.0,0.0,24.061051845
0.0,0.0,24.175178766
0.0,0.0,24.302516222
0.0,0.0,24.416115045
0.0,0.0,24.546825885
0.0,0.0,24.662467241
0.0,0.0,24.813329935
0.0,0.0,24.927401781
0.0,0.0,25.059179306
0.0,0.0,25.171489477
0.0,0.0,25.284490347
0.0,0.0,25.412852764
0.0,0.0,25.526071787
0.0,0.0,25.676481247
0.0,0.0,25.788842201
0.0,0.0,25.901120662
0.0,0.0,26.028324842
0.0,0.0,26.141100883
0.0,0.0,26.26999402
0.0,0.0,26.387017011
0.0,0.0,26.523161172000002
0.0,0.0,26.635951757
0.0,0.0,26.748450279
0.0,0.0,26.874653577
0.0,0.0,26.986991644
0.0,0.0,27.115242481
0.0,0.0,27.244549512
0.0,0.0,27.378319502
0.0,0.0,27.50857687
0.0,0.0,27.643591165
0.0,0.0,27.751668453
0.0,0.0,27.862882852
0.0,0.0,27.996283292
0.0,0.0,28.124594926
0.0,0.0,28.253642082
0.0,0.0,28.366587638
0.0,0.0,28.508021354
0.0,0.0,28.63889575
