Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
20:00.5,15.9,15.9,0.83,0.04,563,4.6,0,0
20:00.6,15.9,15.9,0.83,0.04,563,4.6,0,0
20:00.7,15.9,15.9,0.83,0.04,564,4.8,0.07,0
20:00.8,15.9,15.9,0.83,0.04,566,4.7,0,0
20:01.1,15.9,15.9,0.83,0.05,566,4.8,0.022,0
20:01.3,15.9,15.9,0.83,0.04,568,4.7,0,0
20:01.4,15.9,15.9,0.83,0.04,567,4.7,0,0
20:01.4,15.9,15.9,0.83,0.05,567,4.6,0,0
20:01.7,15.9,15.9,0.83,0.04,570,4.8,0.026,0
20:01.8,15.9,15.9,0.83,0.04,569,4.6,0.013,0
20:01.9,15.9,15.9,0.83,0.04,569,4.8,0,0
20:02.0,15.9,15.9,0.83,0.05,570,4.8,0.044,0
20:02.1,15.9,15.9,0.83,0.05,570,4.8,0,0
20:02.5,15.9,15.9,0.83,0.05,570,4.7,0.044,0
20:02.7,15.9,15.9,0.83,0.05,568,4.6,0,0
20:02.8,15.9,15.9,0.83,0.05,567,4.7,0.07,0
20:03.0,15.9,15.9,0.83,0.04,569,4.7,0.004,0
20:03.1,15.9,15.9,0.83,0.04,567,4.6,0.004,0
20:03.2,15.9,15.9,0.83,0.04,566,4.7,0,0
20:03.4,15.9,15.9,0.83,0.05,567,4.7,0,0
20:03.4,15.9,15.9,0.83,0.05,567,4.6,0,0
20:03.6,15.9,15.9,0.83,0.05,563,4.6,0.048,0
20:03.7,15.9,15.9,0.83,0.05,563,4.7,0,0
20:04.3,15.9,15.9,0.83,0.05,560,4.5,0,0
20:04.5,15.9,15.9,0.83,0.04,556,4.6,0,0
20:04.6,15.9,15.9,0.83,0.04,555,4.6,0.053,0
20:04.6,15.9,15.9,0.83,0.05,556,4.6,0,0
20:04.7,15.9,15.9,0.83,0.05,556,4.5,0.022,0
20:04.9,15.9,15.9,0.83,0.05,554,4.4,0,0
20:04.9,15.9,15.9,0.83,0.04,553,4.5,0.004,0
20:05.1,15.9,15.9,0.83,0.05,554,4.7,0,0
20:05.2,15.9,15.9,0.83,0.05,553,4.5,0,0
20:05.4,15.9,15.9,0.83,0.04,550,4.5,0.053,0
20:05.6,15.9,15.9,0.83,0.05,552,4.7,0,0
20:06.0,15.9,15.9,0.83,0.05,552,4.7,0,0
20:06.4,15.9,15.9,0.83,0.05,551,4.6,0.004,0
20:06.4,15.9,15.9,0.83,0.05,553,4.7,0.03,0
20:06.5,15.9,15.9,0.83,0.05,553,4.6,0,0
20:06.7,15.9,15.9,0.83,0.04,552,4.5,0.013,0
20:06.9,15.9,15.9,0.83,0.05,554,4.7,0.03,0
20:07.0,15.9,15.9,0.83,0.05,555,4.6,0,0
20:07.2,15.9,15.9,0.83,0.04,554,4.6,0.07,0
20:07.3,15.9,15.9,0.83,0.04,555,4.7,0.017,0
20:07.4,15.9,15.9,0.83,0.05,556,4.6,0,0
20:07.5,15.9,15.9,0.83,0.05,555,4.5,0,0
20:07.6,15.9,15.9,0.83,0.05,554,4.5,0,0
20:07.9,15.9,15.9,0.83,0.05,556,4.6,0,0
20:08.3,15.9,15.9,0.83,0.05,556,4.5,0.004,0
20:08.7,15.9,15.9,0.83,0.05,557,4.6,0.039,0
20:08.7,15.9,15.9,0.83,0.05,557,4.5,0,0
20:08.8,15.9,15.9,0.83,0.04,556,4.5,0,0
20:08.9,15.9,15.9,0.83,0.04,555,4.7,0.07,0
20:09.0,15.9,15.9,0.83,0.04,556,4.7,0,0
