Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
28:46.1,63.1,63.2,3.13,0.04,2149,17.7,0.234,27.36
28:46.2,62.8,62,3.11,0.05,2149,17.8,0,27.45
28:46.3,63,63.1,3.13,0.05,2147,18.2,0.15,27.55
28:46.8,63,63.1,3.12,0.04,2144,17.7,0.03,28.05
28:46.9,62,62.3,3.09,0.05,2144,17.9,0.092,28.14
28:47.0,62.8,63.1,3.13,0.05,2143,18.1,0,28.21
28:47.8,63.1,63.1,3.13,0.05,2145,18,0.101,28.99
28:47.9,63.1,63.1,3.13,0.05,2146,17.5,0,29.08
28:48.3,63.1,63.1,3.13,0.05,2145,17.6,0,29.55
28:48.4,63.1,63.1,3.13,0.04,2145,17.9,0,29.66
28:48.5,63.2,63.1,3.13,0.05,2146,17.6,0.172,29.76
28:48.6,63.1,63.1,3.13,0.04,2148,17.8,0.216,29.85
28:48.8,63.1,63.1,3.13,0.04,2150,18.2,0.119,30.06
28:49.3,63.1,63.1,3.13,0.05,2156,17.8,0,30.53
28:49.4,63.1,63.1,3.14,0.05,2158,18.1,0.199,30.62
28:49.5,63.1,63.1,3.13,0.05,2157,18.3,0.23,30.72
28:49.7,63.1,63.1,3.13,0.05,2158,18.3,0.066,30.94
28:49.8,63.1,63.1,3.13,0.05,2158,18.2,0.172,31.05
28:50.3,63.2,63.1,3.14,0.05,2157,17.6,0.177,31.55
28:50.7,63.1,63.1,3.13,0.05,2155,17.7,0,31.88
28:50.7,63.1,63.1,3.13,0.05,2154,18.2,0.194,31.95
28:50.8,63.1,63.1,3.13,0.04,2152,17.7,0,32.04
28:51.3,63.1,63.1,3.13,0.05,2150,17.8,0.331,32.56
28:51.4,63.1,63.1,3.14,0.05,2150,17.9,0.119,32.66
28:51.5,63.2,63.1,3.13,0.05,2147,18,0,32.76
28:51.7,62.7,63.1,3.13,0.05,2145,17.8,0.03,32.88
28:51.8,63.1,63.1,3.13,0.04,2145,18,0.181,32.98
28:51.9,63.1,63.2,3.14,0.05,2142,18.1,0,33.08
28:52.0,63.2,63.1,3.14,0.04,2141,17.9,0,33.19
28:52.1,63.2,63.1,3.13,0.05,2141,17.9,0,33.28
28:52.2,63.2,63.1,3.13,0.05,2141,17.4,0,33.38
28:52.3,63.1,63.2,3.13,0.05,2139,17.7,0.128,33.46
28:52.4,63.1,63.1,3.14,0.04,2139,17.7,0.159,33.57
28:52.6,63.1,63.1,3.13,0.04,2135,17.6,0,33.84
28:52.9,63.1,63.1,3.13,0.04,2135,18,0.265,34.13
28:53.2,63.1,63.1,3.13,0.05,2135,18,0.154,34.46
28:53.4,63.1,63.1,3.13,0.05,2133,18,0,34.56
28:53.5,63.1,63.1,3.13,0.04,2134,18.1,0,34.68
28:53.6,63.1,63.1,3.13,0.05,2131,17.9,0,34.78
28:53.7,63.1,63.1,3.13,0.04,2131,17.8,0.079,34.88
28:53.8,63.1,63.1,3.13,0.05,2132,17.4,0,34.98
28:53.9,63.1,63.1,3.13,0.05,2131,17.6,0,35.07
28:54.3,63.1,63.1,3.13,0.04,2130,17.7,0,35.45
28:54.5,63.2,63.1,3.13,0.05,2132,17.6,0,35.66
28:54.6,63.1,63.1,3.13,0.04,2134,17.7,0.212,35.76
28:54.9,63.1,63.1,3.13,0.05,2136,17.4,0,36.11
28:55.1,63.1,63.1,3.14,0.05,2137,18,0,36.24
28:55.2,63.1,63.1,3.13,0.05,2139,17.7,0,36.43
28:55.4,63.1,63.1,3.13,0.04,2140,17.5,0,36.56
28:55.5,63.1,63.1,3.14,0.05,2142,18.1,0,36.72
28:55.7,63.1,63.1,3.13,0.05,2142,18.1,0.128,36.94
28:56.1,63.2,63,3.13,0.05,2142,17.6,0,37.25
28:56.1,63.1,63.1,3.14,0.05,2142,17.6,0.101,37.34
28:56.2,63.2,63.1,3.13,0.05,2143,17.7,0,37.44
28:56.3,63.1,63.1,3.13,0.04,2141,18.1,0.185,37.52
28:56.4,63.2,63.1,3.14,0.05,2141,18,0,37.62
28:56.5,63.1,63.1,3.13,0.04,2138,18,0,37.74
28:56.6,63.2,63.1,3.13,0.04,2139,17.9,0,37.84
28:56.7,63.2,63.2,3.14,0.04,2138,17.3,0,37.93
28:56.9,63.2,63.2,3.14,0.05,2136,17.4,0.208,38.14
28:57.3,63.2,63.1,3.14,0.05,2134,17.9,0,38.51
28:57.8,63.1,63.1,3.13,0.05,2138,17.8,0.185,39.02
28:58.0,63.1,63.1,3.13,0.05,2137,17.7,0.287,39.16
28:58.0,63.1,63.1,3.13,0.05,2138,18,0,39.23
28:58.2,63.1,63,3.13,0.05,2136,17.8,0,39.36
28:58.3,63.1,63.1,3.13,0.05,2134,17.9,0.088,39.42
28:58.8,62.3,62.2,3.08,0.05,2135,17.6,0,39.95
28:58.9,63,63.2,3.1,0.05,2133,18,0.137,40.04
28:58.9,62.2,63.1,3.13,0.05,2132,18.1,0.243,40.13
28:59.0,63.1,62.6,3.13,0.05,2133,17.7,0,40.22
28:59.3,62.7,62.4,3.09,0.05,2134,17.7,0,40.51
28:59.5,62.9,62,3.13,0.04,2135,17.4,0,40.65
28:59.8,62.2,62.1,3.1,0.05,2133,17.9,0,40.95
29:00.0,62.1,62.2,3.1,0.05,2130,17.9,0,41.14
29:00.1,62.2,63,3.09,0.04,2130,17.6,0,41.23
29:00.2,62.1,62.4,3.09,0.05,2131,17.4,0.212,41.34
29:00.3,62.2,61.9,3.1,0.05,2131,17.6,0.132,41.44
29:00.8,62.8,62.9,3.13,0.05,2128,17.9,0,41.97
29:01.1,63.1,63,3.12,0.04,2128,17.5,0.239,42.24
29:01.1,63.1,63.1,3.13,0.05,2128,17.9,0.261,42.32
29:01.5,62.8,62.1,3.1,0.04,2125,17.3,0,42.7
29:01.8,62.9,63.1,3.13,0.05,2124,17.9,0,42.97
29:01.9,63,63.2,3.13,0.05,2127,18,0.013,43.09
29:02.0,63.1,63,3.13,0.05,2127,17.4,0,43.17
29:02.1,63.2,63.2,3.13,0.05,2127,17.6,0,43.29
29:02.2,63,63.2,3.14,0.05,2127,17.5,0.19,43.38
29:02.6,63.1,63.1,3.14,0.05,2130,18,0,43.76
29:03.0,63.2,63.2,3.14,0.04,2135,17.8,0.013,44.16
29:03.1,63.2,63.2,3.13,0.05,2137,18.1,0.128,44.24
29:03.2,63.1,63.1,3.14,0.04,2136,18.1,0,44.35
29:03.7,63.2,63.1,3.14,0.05,2141,17.9,0.203,44.84
29:04.2,63.2,63.2,3.13,0.05,2148,18,0,45.34
29:04.6,63.1,63.1,3.13,0.05,2160,18,0,45.77
29:04.7,63.1,63.1,3.13,0.04,2162,17.8,0.154,45.88
29:04.8,63.1,63.1,3.14,0.05,2164,18,0.084,45.99
29:05.0,63.1,63.1,3.13,0.04,2167,18.1,0,46.12
29:05.2,63.1,63.1,3.13,0.05,2173,18.3,0,46.39
29:05.4,63.1,63.1,3.13,0.05,2175,17.9,0,46.54
29:05.5,63.1,63.1,3.13,0.05,2176,18,0.252,46.64
29:05.6,63,63.1,3.13,0.05,2177,18.2,0,46.79
29:05.7,63.2,63.1,3.13,0.05,2180,18,0,46.87
29:05.8,63.2,63.2,3.13,0.05,2182,18.1,0,46.98
29:06.3,0,0,0.29,0.05,2158,17.2,0,47.45
29:06.5,0,0,0.28,0.05,2148,17.4,0,47.62
29:06.6,0,0,0.29,0.04,2144,17.8,0.088,47.74
29:06.7,0,0,0.29,0.05,2138,17.5,0,47.86
29:07.0,0,0,0.29,0.05,2109,16.9,0,48.14
29:07.1,0,0,0.29,0.05,2093,16.5,0,48.27
29:07.2,0,0,0.28,0.05,2083,16.5,0,48.35
29:07.4,0,0,0.29,0.05,2051,15.9,0,48.53
29:07.7,0,0,0.29,0.04,1996,15.5,0,48.82
29:07.7,0,0,0.29,0.05,1984,15.4,0,48.9
29:07.8,0,0,0.28,0.05,1964,15.4,0,48.97
29:07.9,0,0,0.29,0.04,1952,14.9,0,49.04
29:08.0,0,0,0.29,0.04,1931,14.9,0,49.16
29:08.1,0,0,0.29,0.05,1905,14.9,0,49.26
29:08.3,0,0,0.29,0.04,1876,14.5,0.035,49.4
29:08.4,0,0,0.29,0.05,1834,13.8,0.177,49.59
29:08.7,0,0,0.29,0.05,1783,13.9,0,49.83
29:08.8,0,0,0.29,0.05,1748,13.5,0,49.98
29:08.9,0,0,0.29,0.04,1725,12.8,0,50.06
29:09.1,0,0,0.29,0.04,1678,12.8,0.057,50.26
29:09.2,0,0,0.29,0.05,1657,12.1,0.022,50.35
29:09.4,0,35.7,1.99,0.04,1583,11.5,0.274,50.58
