Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
48:08.6,47.6,47.6,2.56,0.05,1679,14.2,0.15,16.92
48:08.8,47.6,47.6,2.56,0.05,1684,14.1,0.022,17.1
48:08.9,47.6,47.5,2.56,0.05,1683,13.8,0,17.16
48:09.1,47.6,47.6,2.56,0.05,1686,14.2,0,17.35
48:09.4,47.6,47.6,2.56,0.04,1692,14,0,17.72
48:09.5,47.6,47.6,2.56,0.05,1692,14.3,0,17.8
48:09.6,47.6,47.6,2.56,0.05,1694,14.2,0,17.9
48:09.7,47.6,47.6,2.56,0.05,1696,14,0,18.01
48:09.8,47.6,47.6,2.56,0.05,1697,14.3,0.137,18.12
48:10.0,47.6,47.6,2.55,0.05,1699,14.1,0,18.27
48:10.5,47.6,47.5,2.56,0.05,1699,14.1,0,18.76
48:10.5,47.6,47.7,2.56,0.05,1700,14,0.048,18.83
48:10.6,47.6,47.6,2.56,0.05,1697,13.9,0,18.89
48:10.7,47.6,47.6,2.56,0.05,1697,14.1,0.088,19
48:10.8,47.6,47.6,2.56,0.04,1696,14.1,0.061,19.1
48:10.9,47.6,47.6,2.56,0.04,1691,14,0,19.21
48:11.1,47.6,47.6,2.56,0.05,1689,13.9,0,19.34
48:11.2,47.6,47.6,2.56,0.05,1688,13.7,0,19.44
48:11.3,47.6,47.6,2.56,0.04,1684,14,0.092,19.56
48:11.7,47.6,47.7,2.56,0.04,1673,13.9,0.013,19.97
48:11.8,47.5,47.6,2.56,0.05,1667,13.8,0,20.1
48:11.9,47.6,47.6,2.56,0.05,1665,13.6,0,20.19
48:12.0,47.6,47.6,2.56,0.04,1663,13.6,0.079,20.29
48:12.2,47.6,47.6,2.56,0.05,1657,13.6,0,20.51
48:12.4,47.6,47.6,2.56,0.05,1651,13.8,0.15,20.69
48:12.9,47.7,47.7,2.56,0.05,1646,13.7,0.11,21.16
48:13.0,47.6,47.7,2.56,0.05,1644,13.5,0,21.24
48:13.0,47.7,47.6,2.56,0.05,1645,13.8,0.15,21.32
48:13.1,47.6,47.6,2.56,0.05,1644,13.7,0.03,21.4
48:13.2,47.6,47.6,2.56,0.05,1644,13.5,0,21.5
48:13.9,47.7,47.7,2.56,0.05,1650,14,0,22.15
48:14.2,47.6,47.6,2.56,0.05,1657,14.1,0.039,22.46
48:14.3,47.6,47.6,2.56,0.05,1660,14.1,0,22.59
48:14.4,47.6,47.6,2.56,0.05,1661,13.8,0,22.71
48:14.5,47.6,47.6,2.56,0.04,1664,13.9,0,22.81
48:14.7,47.6,47.7,2.56,0.05,1668,14,0,23.01
48:15.1,47.6,47.5,2.55,0.04,1678,14,0,23.4
48:15.3,47.6,47.6,2.55,0.05,1679,13.8,0,23.54
48:15.4,47.6,47.6,2.56,0.05,1679,14.2,0.088,23.64
48:15.4,47.6,47.6,2.56,0.05,1679,14,0,23.72
48:15.5,47.6,47.5,2.56,0.04,1681,14,0.084,23.79
