Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
01:39.7,100,100,4.85,2241,18.3,0.066,30.02
01:39.9,100,100,4.85,2242,18.7,0.026,30.19
01:40.0,100,100,4.85,2239,18.9,0,30.28
01:40.1,100,100,4.85,2242,18.6,0,30.38
01:40.4,100,100,4.85,2242,18.2,0.106,30.67
01:40.9,100,100,4.85,2234,18.8,0.053,31.19
01:41.2,100,100,4.85,2229,18.3,0,31.53
01:41.3,100,100,4.85,2227,18.8,0.172,31.62
01:41.4,100,100,4.85,2226,18.7,0.172,31.72
01:41.5,100,100,4.85,2223,18.5,0,31.8
01:41.6,100,100,4.85,2225,18.4,0.212,31.88
01:41.7,100,100,4.85,2221,18.1,0,31.98
01:42.0,100,100,4.85,2221,18.4,0.07,32.34
01:42.1,100,100,4.85,2221,18.1,0,32.42
01:42.6,100,100,4.85,2224,18.4,0,32.88
01:43.0,100,100,4.85,2233,19,0.044,33.34
01:43.2,100,100,4.85,2238,18.5,0,33.52
01:43.3,100,100,4.85,2241,18.7,0.278,33.62
01:43.5,100,100,4.85,2245,18.9,0.203,33.82
01:43.9,100,100,4.85,2247,18.5,0,34.16
01:44.5,100,100,4.85,2243,18.4,0,34.82
01:44.8,100,100,4.85,2241,19,0,35.09
01:44.9,100,100,4.85,2240,18.6,0.097,35.17
01:45.4,100,100,4.85,2239,19,0,35.73
01:45.8,100,100,4.85,2241,18.6,0.048,36.13
01:46.0,100,100,4.85,2245,18.9,0.008,36.26
01:46.3,100,100,4.85,2248,19.2,0.292,36.61
01:46.6,100,100,4.85,2254,18.9,0.119,36.86
01:47.0,100,100,4.85,2260,19.3,0.247,37.25
01:47.1,100,100,4.85,2263,18.7,0,37.41
01:47.2,100,100,4.85,2268,19,0.119,37.5
01:47.3,100,100,4.85,2269,18.7,0,37.59
01:47.4,100,100,4.85,2271,19.4,0.265,37.67
01:47.5,100,100,4.85,2274,18.9,0,37.8
01:47.6,100,100,4.85,2275,19.3,0.203,37.87
01:47.9,100,100,4.85,2282,19.1,0.119,38.14
01:48.1,100,100,4.85,2284,18.9,0,38.37
01:48.2,100,100,4.85,2282,18.9,0,38.47
01:48.3,100,100,4.85,2283,18.9,0,38.57
01:48.5,100,100,4.85,2281,19.3,0.026,38.75
01:48.9,100,100,4.85,2301,19.9,0.398,39.16
01:49.1,100,100,4.85,2311,19.4,0,39.42
01:49.6,100,100,4.85,2296,18.7,0,39.88
01:50.2,100,100,4.85,2268,18.8,0.336,40.46
01:50.5,100,100,4.85,2258,18.7,0,40.74
01:50.6,100,100,4.85,2253,18.9,0,40.84
01:51.0,100,100,4.85,2242,19,0,41.3
01:51.1,100,100,4.85,2242,18.8,0.044,41.4
01:51.2,100,100,4.85,2239,18.7,0,41.48
01:51.7,100,100,4.85,2236,18.8,0,41.92
01:52.0,100,100,4.85,2237,18.4,0.066,42.3
01:52.3,100,100,4.85,2231,18.6,0,42.57
01:52.8,100,100,4.85,2226,18.8,0,43.03
01:53.0,100,100,4.85,2224,18.9,0.305,43.24
01:53.1,100,100,4.85,2226,18.5,0,43.33
01:53.3,100,100,4.85,2227,18.5,0.092,43.52
01:53.3,100,100,4.85,2227,18.6,0,43.59
01:53.5,100,100,4.85,2227,18.7,0.323,43.72
01:53.7,100,100,4.85,2228,18.8,0.075,43.92
01:54.0,100,100,4.85,2229,18.3,0,44.27
01:54.1,100,100,4.85,2228,18.7,0.252,44.36
01:54.2,100,100,4.85,2229,18.5,0.079,44.46
01:54.3,100,100,4.85,2225,18.7,0,44.54
01:54.8,100,100,4.85,2224,18.4,0,45.05
01:55.2,100,100,4.85,2221,18.3,0.216,45.46
01:55.4,100,100,4.85,2219,18.6,0.084,45.67
01:55.5,100,100,4.85,2219,18.7,0.07,45.75
01:56.0,100,100,4.85,2213,18.3,0.168,46.22
01:56.1,100,100,4.85,2211,18.5,0.269,46.32
01:56.2,100,100,4.85,2210,18.6,0,46.4
01:56.7,100,100,4.85,2206,18.4,0.3,46.99
01:57.0,100,100,4.85,2207,18.4,0,47.2
01:57.0,100,100,4.85,2208,18.8,0.194,47.28
01:57.2,0,0,0.29,2203,18,0.044,47.45
01:57.3,0,0,0.29,2193,17.2,0,47.53
01:57.4,0,0,0.29,2179,17.9,0.146,47.63
01:57.8,0,0,0.29,2159,17.7,0,48.02
01:57.9,0,0,0.29,2152,17.6,0,48.12
01:58.0,0,0,0.29,2147,17.2,0,48.21
