Topic:,/fixposition/fpa/odometry
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z
1770803065.690636,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,0.00026,-2e-05,0.0003,-0.0318,-0.0887,9.8006
1770803065.7409663,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,-0.00038,0.0004,-0.00014,-0.0442,-0.0865,9.8088
1770803065.7899816,1055163.3467,6125692.1758,1424285.1899,0.003353,0.619405,0.775096,0.124711,0.0013,-0.0005,-0.0001,0.00055,-0.00241,-0.00062,-0.0349,-0.0961,9.8032
1770803065.8398032,1055163.3467,6125692.1758,1424285.1899,0.003353,0.619405,0.775096,0.124711,0.0013,-0.0005,-0.0001,-0.00087,0.00203,0.00025,-0.0452,-0.0967,9.809
1770803065.8912241,1055163.3467,6125692.1758,1424285.1899,0.003353,0.619405,0.775096,0.124711,0.0013,-0.0005,-0.0001,-0.00067,0.00141,0.00013,-0.0412,-0.0886,9.8074
1770803065.941847,1055163.3467,6125692.1758,1424285.1899,0.003353,0.619405,0.775096,0.124711,0.0013,-0.0005,-0.0001,0.00158,-0.00087,5e-05,-0.0344,-0.0918,9.8131
1770803065.9910393,1055163.3467,6125692.1758,1424285.1899,0.003353,0.619405,0.775096,0.124711,0.0013,-0.0005,-0.0001,-0.00095,0.00194,-0.00014,-0.0465,-0.0933,9.8076
1770803066.0390956,1055163.3466,6125692.1758,1424285.1899,0.003298,0.619399,0.775105,0.124683,0.0013,-0.0004,-0.0001,0.00062,-0.00201,5e-05,-0.0324,-0.0939,9.8155
1770803066.0928435,1055163.3466,6125692.1758,1424285.1899,0.003298,0.619399,0.775105,0.124683,0.0013,-0.0004,-0.0001,-0.00045,0.00084,0.00013,-0.0442,-0.0911,9.8106
1770803066.1434908,1055163.3466,6125692.1758,1424285.1899,0.003298,0.619399,0.775105,0.124683,0.0013,-0.0004,-0.0001,0.00049,-0.00091,0.00023,-0.0438,-0.0958,9.8002
1770803066.199287,1055163.3466,6125692.1758,1424285.1899,0.003298,0.619399,0.775105,0.124683,0.0013,-0.0004,-0.0001,0.00034,0.00064,7e-05,-0.0298,-0.0742,9.8317
1770803066.2394512,1055163.3466,6125692.1758,1424285.1899,0.003298,0.619399,0.775105,0.124683,0.0013,-0.0004,-0.0001,5e-05,0.00026,-0.00067,-0.0353,-0.099,9.8053
1770803066.29393,1055163.3465,6125692.1758,1424285.1899,0.003299,0.619407,0.775099,0.124686,0.0012,-0.0004,-0.0002,0.00049,-0.00211,-0.00034,-0.0381,-0.0914,9.8163
1770803066.341233,1055163.3465,6125692.1758,1424285.1899,0.003299,0.619407,0.775099,0.124686,0.0012,-0.0004,-0.0002,0.00011,0.00067,0.00023,-0.0404,-0.0883,9.8016
1770803066.394658,1055163.3465,6125692.1758,1424285.1899,0.003299,0.619407,0.775099,0.124686,0.0012,-0.0004,-0.0002,-0.00089,0.00091,6e-05,-0.0312,-0.0931,9.8116
1770803066.441109,1055163.3465,6125692.1758,1424285.1899,0.003299,0.619407,0.775099,0.124686,0.0012,-0.0004,-0.0002,-0.00024,0.00071,0.00018,-0.0332,-0.0884,9.8043
1770803066.4991207,1055163.3465,6125692.1758,1424285.1899,0.003299,0.619407,0.775099,0.124686,0.0012,-0.0004,-0.0002,-0.00095,0.00119,-0.00034,-0.0404,-0.0927,9.8161
1770803066.54931,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,-0.00108,0.00172,0.00032,-0.044,-0.0912,9.8115
1770803066.5897958,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,-0.00074,0.00144,0.00024,-0.0387,-0.0874,9.8126
1770803066.640068,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,-0.00052,3e-05,-0.0001,-0.043,-0.0821,9.8076
1770803066.6940033,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,-0.00078,0.00304,0.00022,-0.0392,-0.0896,9.8058
1770803066.7406106,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,-0.00095,0.00151,-0.00047,-0.0392,-0.093,9.8169
1770803066.7899303,1055163.3467,6125692.1758,1424285.1899,0.003319,0.619427,0.775076,0.124729,0.0005,-0.0007,-0.0001,0.00187,-0.00285,-0.0005,-0.0403,-0.0945,9.803
1770803066.8413308,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,5e-05,-0.00147,-9e-05,-0.0409,-0.0938,9.8156
1770803066.8923905,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,0.0003,-0.00176,-0.00022,-0.041,-0.0909,9.8138
1770803066.9414816,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,0.00022,0.00071,0.00024,-0.041,-0.0889,9.8074
1770803066.9907324,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,-0.00044,0.00149,-0.00014,-0.0424,-0.0794,9.8044
1770803067.0428593,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,-0.00046,7e-05,0.00019,-0.03,-0.0911,9.8137
1770803067.089904,1055163.3466,6125692.1758,1424285.1899,0.003306,0.619408,0.77509,0.124732,0.001,-0.0002,-0.0001,-0.00079,0.00147,-0.00046,-0.0434,-0.098,9.8087
1770803067.142462,1055163.3466,6125692.1758,1424285.1899,0.003329,0.619401,0.775091,0.124762,0.0008,-0.0003,0.0001,0.00176,-0.00178,-0.0003,-0.0367,-0.0876,9.8021
1770803067.1924887,1055163.3466,6125692.1758,1424285.1899,0.003329,0.619401,0.775091,0.124762,0.0008,-0.0003,0.0001,-0.00115,0.00299,-0.0002,-0.0222,-0.0867,9.8074
1770803067.2403674,1055163.3466,6125692.1758,1424285.1899,0.003329,0.619401,0.775091,0.124762,0.0008,-0.0003,0.0001,-0.00091,0.00223,-3e-05,-0.0112,-0.087,9.7949
1770803067.2896044,1055163.3466,6125692.1758,1424285.1899,0.003329,0.619401,0.775091,0.124762,0.0008,-0.0003,0.0001,0.00038,0.00011,-0.00013,-0.0156,-0.0828,9.8138
1770803067.341535,1055163.3466,6125692.1758,1424285.1899,0.003329,0.619401,0.775091,0.124762,0.0008,-0.0003,0.0001,-0.0008,0.0024,0.00015,-0.0329,-0.0934,9.8024
1770803067.3916464,1055163.3469,6125692.1758,1424285.19,0.003306,0.619384,0.775108,0.124739,-0.0011,-0.0006,0.0004,0.00206,-0.00281,5e-05,-0.034,-0.0812,9.82
1770803067.4402385,1055163.3469,6125692.1758,1424285.19,0.003306,0.619384,0.775108,0.124739,-0.0011,-0.0006,0.0004,0.00063,-0.00072,0.00034,-0.0503,-0.0996,9.8065
