Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1770803066.3414052,34.0889,3.2341,-0.9885,0.004247,-0.002484,0.076353,-0.997069,0.0012,-0.0004,-0.0002,0.00011,0.00067,0.00023,-0.0404,-0.0883,9.8016,4,1,1,1,-1
1770803066.3974779,34.0889,3.2341,-0.9885,0.004247,-0.002484,0.076353,-0.997069,0.0012,-0.0004,-0.0002,-0.00089,0.00091,6e-05,-0.0312,-0.0931,9.8116,4,1,1,1,-1
1770803066.4407856,34.0889,3.2341,-0.9885,0.004247,-0.002484,0.076353,-0.997069,0.0012,-0.0004,-0.0002,-0.00024,0.00071,0.00018,-0.0332,-0.0884,9.8043,4,1,1,1,-1
1770803066.497433,34.0889,3.2341,-0.9885,0.004247,-0.002484,0.076353,-0.997069,0.0012,-0.0004,-0.0002,-0.00095,0.00119,-0.00034,-0.0404,-0.0927,9.8161,4,1,1,1,-1
1770803066.5495617,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,-0.00108,0.00172,0.00032,-0.044,-0.0912,9.8115,4,1,1,1,-1
1770803066.5901954,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,-0.00074,0.00144,0.00024,-0.0387,-0.0874,9.8126,4,1,1,1,-1
1770803066.6413035,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,-0.00052,3e-05,-0.0001,-0.043,-0.0821,9.8076,4,1,1,1,-1
1770803066.693559,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,-0.00078,0.00304,0.00022,-0.0392,-0.0896,9.8058,4,1,1,1,-1
1770803066.741079,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,-0.00095,0.00151,-0.00047,-0.0392,-0.093,9.8169,4,1,1,1,-1
1770803066.7972522,34.0887,3.2341,-0.9885,0.004219,-0.002441,0.076376,-0.997067,0.0005,-0.0007,-0.0001,0.00187,-0.00285,-0.0005,-0.0403,-0.0945,9.803,4,1,1,1,-1
1770803066.8426332,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,5e-05,-0.00147,-9e-05,-0.0409,-0.0938,9.8156,4,1,1,1,-1
1770803066.8928006,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,0.0003,-0.00176,-0.00022,-0.041,-0.0909,9.8138,4,1,1,1,-1
1770803066.9420075,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,0.00022,0.00071,0.00024,-0.041,-0.0889,9.8074,4,1,1,1,-1
1770803066.990545,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,-0.00044,0.00149,-0.00014,-0.0424,-0.0794,9.8044,4,1,1,1,-1
1770803067.0429442,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,-0.00046,7e-05,0.00019,-0.03,-0.0911,9.8137,4,1,1,1,-1
1770803067.0902717,34.0888,3.2341,-0.9885,0.004243,-0.002449,0.076384,-0.997066,0.001,-0.0002,-0.0001,-0.00079,0.00147,-0.00046,-0.0434,-0.098,9.8087,4,1,1,1,-1
1770803067.1427014,34.0888,3.2341,-0.9885,0.00425,-0.002412,0.076393,-0.997066,0.0008,-0.0003,0.0001,0.00176,-0.00178,-0.0003,-0.0367,-0.0876,9.8021,4,1,1,1,-1
