Topic:,/fixposition/fpa/corrimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803081.1765063,-0.002436,0.004845,-7e-05,-0.068726,-0.110775,9.818804
1770803081.1800818,-0.000838,-0.00128,0.000462,-0.055557,-0.114366,9.829579
1770803081.185741,0.002091,-0.006872,-0.001136,-0.01366,-0.114366,9.804439
1770803081.1926825,-0.00217,0.006177,0.000462,0.005494,-0.086833,9.809227
1770803081.196499,-0.000838,0.004046,0.001261,-0.023236,-0.085636,9.804439
1770803081.2015975,-0.000838,-0.000747,0.000462,-0.039995,-0.084438,9.808031
1770803081.2134404,0.00076,0.000851,-7e-05,-0.051966,-0.092818,9.82479
1770803081.2136288,-3.9e-05,0.000318,0.000196,-0.016053,-0.090424,9.828382
1770803081.2158837,0.000493,0.003514,0.000196,-0.012462,-0.080847,9.814016
1770803081.2208037,0.003689,-0.00341,0.000196,-0.031615,-0.08803,9.806833
1770803081.2256682,0.003955,-0.006872,-0.001136,-0.061544,-0.094016,9.822395
1770803081.2327085,0.00076,-0.00128,-0.000337,-0.050769,-0.101198,9.817608
1770803081.2448323,0.00076,0.000584,0.000729,-0.012461,-0.10838,9.80444
1770803081.2448957,-0.002702,0.007509,0.000729,0.004296,-0.109578,9.806833
1770803081.2463267,0.000227,-0.000747,-0.000603,-0.024432,-0.100001,9.820002
1770803081.2509809,0.001026,0.002715,-7e-05,-0.051966,-0.102395,9.818805
1770803081.2587118,0.001292,-0.002878,-0.000869,-0.083091,-0.109578,9.815213
1770803081.2625937,0.001559,-0.003144,-7e-05,-0.036404,-0.103592,9.812819
1770803081.2670486,0.000493,-0.000747,-7e-05,0.001904,-0.085635,9.793666
1770803081.27119,0.001559,-0.003943,-0.000603,-0.008871,-0.098804,9.797257
1770803081.276346,-0.001105,0.004579,0.000462,-0.055558,-0.098804,9.809228
1770803081.2818904,0.002624,-0.00341,-7e-05,-0.079499,-0.094015,9.81641
1770803081.2871482,-0.0043,0.002449,-7e-05,-0.05436,-0.08803,9.827184
1770803081.2928329,0.002358,-0.004476,-0.001402,-0.004082,-0.089227,9.815213
1770803081.3017864,0.002358,0.001117,0.000462,-0.001687,-0.090424,9.790074
1770803081.3030996,-0.001371,0.005378,0.000196,-0.044784,-0.102395,9.812819
1770803081.3067355,-0.000306,-0.003677,-7e-05,-0.072317,-0.110775,9.800848
1770803081.3117933,0.003423,-0.009536,-0.000869,-0.068728,-0.102396,9.831971
1770803081.3188727,0.001559,-0.002878,0.000462,-0.000491,-0.094015,9.805637
1770803081.3220744,-3.9e-05,0.004046,0.000995,0.018663,-0.090424,9.800848
1770803081.327418,0.000493,0.00165,0.000729,-0.012461,-0.08803,9.810425
1770803081.33602,0.002091,0.001117,0.000462,-0.081893,-0.077256,9.791271
1770803081.3468695,0.001292,-0.001812,-0.000869,-0.109427,-0.07127,9.810425
1770803081.346922,0.001559,-0.002878,-0.001136,-0.104638,-0.066482,9.809228
1770803081.347797,-0.001371,0.004046,0.000196,-0.050769,-0.08803,9.805636
1770803081.3521776,-0.001904,0.006443,-7e-05,-0.006477,-0.098804,9.806833
1770803081.357183,0.002091,-0.004209,-0.001136,0.001903,-0.111972,9.803242
1770803081.3624063,-0.002436,0.003248,0.000995,-0.002885,-0.129928,9.805636
1770803081.3671527,-0.002702,0.005378,0.000462,0.0031,-0.129929,9.817607
1770803081.3725264,0.003156,-0.004476,0.000196,0.01986,-0.117958,9.814016
1770803081.3806674,0.001825,0.004313,0.001794,0.01148,-0.104789,9.827184
1770803081.3824434,-0.001105,0.004313,0.000462,-0.03401,-0.091621,9.820001
1770803081.3918262,0.002358,-0.002611,-7e-05,-0.083091,-0.072468,9.806833
1770803081.3929462,0.002358,-0.00128,-0.000603,-0.119004,-0.066482,9.796059
1770803081.4023292,-3.9e-05,-0.001546,-0.000603,-0.120201,-0.053314,9.799651
1770803081.4030557,-0.000572,-0.002345,-0.000869,-0.095062,-0.070073,9.803242
1770803081.4085376,0.001559,-0.001546,-7e-05,-0.038798,-0.091621,9.81641
1770803081.4201007,-0.001371,0.001916,0.000196,0.01986,-0.102395,9.806833
1770803081.420339,-0.000306,0.00378,0.000196,0.037816,-0.115563,9.818804
1770803081.4236996,-0.000572,0.002981,-0.000337,0.018663,-0.117957,9.812819
1770803081.4319055,-0.001637,0.001916,0.000462,-0.012462,-0.12514,9.812819
1770803081.4390996,-0.001105,0.005378,0.000729,-0.032813,-0.113169,9.814016
1770803081.439151,-0.000306,0.000851,0.000196,-0.034009,-0.113169,9.806834
1770803081.4497316,-0.000306,-0.00128,0.000462,-0.06274,-0.082044,9.821199
1770803081.4498022,0.004754,-0.008737,-0.001136,-0.105838,-0.073666,9.824788
1770803081.4546988,0.002624,-0.003943,-0.000337,-0.087879,-0.072468,9.820001
1770803081.4588246,-0.003235,0.005112,0.000462,-0.020842,-0.083242,9.817607
1770803081.467758,0.000227,0.001117,-0.000337,0.017466,-0.073665,9.79606
1770803081.4684095,0.001559,0.000318,0.000196,0.006692,-0.084438,9.803242
1770803081.4734523,0.001559,-0.000747,-0.000869,-0.030418,-0.095212,9.811622
1770803081.4784904,-0.001371,0.000584,0.000196,-0.050769,-0.101198,9.812819
1770803081.4851966,0.00076,-0.000215,-0.000869,-0.038798,-0.098804,9.817607
1770803081.4892669,0.000493,-0.00341,-0.001136,-0.031616,-0.100001,9.802045
