Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803069.0420802,0.00229,-0.00462,3e-05,-0.0417,-0.0901,9.8162
1770803069.0896494,-0.00118,0.00164,9e-05,-0.0489,-0.0983,9.8046
1770803069.1398022,-0.00051,3e-05,0.00039,-0.0564,-0.094,9.8096
1770803069.1914008,-0.00026,-0.00134,0.0,-0.0539,-0.0853,9.8136
1770803069.23982,0.0008,-0.00346,-0.00027,-0.0506,-0.0894,9.8124
1770803069.2915363,-5e-05,0.00021,0.00016,-0.0427,-0.0942,9.8095
1770803069.339925,0.00245,-0.00212,-0.00025,-0.0458,-0.0947,9.8142
1770803069.3909109,0.00052,0.00092,-0.00016,-0.0417,-0.0907,9.8124
1770803069.440594,-0.00096,0.00475,0.00048,-0.0373,-0.097,9.803
1770803069.4952545,-8e-05,-0.00023,-0.00066,-0.0383,-0.0887,9.8187
1770803069.5423176,-0.00046,0.00328,-0.00013,-0.0319,-0.0917,9.8058
1770803069.590681,-0.00177,0.00548,0.00087,-0.0318,-0.0943,9.8203
1770803069.641219,0.0004,0.00019,0.00024,-0.0207,-0.0973,9.8039
1770803069.690396,0.00037,0.00173,0.00038,-0.0172,-0.0883,9.8086
1770803069.7420664,0.00036,0.00054,-0.00026,-0.0246,-0.0904,9.8014
1770803069.7933679,0.00036,0.00118,-6e-05,-0.0361,-0.0931,9.8187
1770803069.845237,8e-05,-0.00186,-0.00031,-0.0427,-0.0939,9.8144
1770803069.8898804,0.00106,-0.00278,-0.00047,-0.0367,-0.0847,9.8018
1770803069.9410768,-0.0023,0.00241,0.00024,-0.036,-0.0915,9.8118
1770803069.9918149,0.00031,-0.00039,0.0002,-0.0444,-0.0935,9.7957
1770803070.0396786,-0.00185,0.0076,0.0008,-0.0335,-0.1023,9.816
1770803070.0912766,-0.00012,-2e-05,3e-05,-0.0433,-0.0959,9.8129
1770803070.141038,5e-05,-0.00056,-0.00033,-0.0552,-0.0872,9.8177
1770803070.1923244,0.00044,-0.00177,-3e-05,-0.0431,-0.0903,9.808
1770803070.23989,-0.00101,0.00248,0.00014,-0.0508,-0.0942,9.8144
1770803070.290275,0.0,-0.00237,-0.00056,-0.0428,-0.0908,9.8112
1770803070.341245,-0.00024,0.00012,-0.00024,-0.0458,-0.0936,9.8111
1770803070.3908393,-0.00106,-0.0001,-0.00066,-0.0435,-0.0917,9.8108
1770803070.4399858,0.00011,-0.00266,-4e-05,-0.0443,-0.0903,9.8146
1770803070.4907594,-0.00052,-0.002,-0.00048,-0.056,-0.0977,9.812
1770803070.5406592,0.00034,-0.00171,0.00015,-0.0567,-0.0909,9.8059
1770803070.5946121,0.00106,-0.0017,0.00014,-0.0599,-0.0984,9.8176
1770803070.6402678,0.00017,-0.00267,-0.00017,-0.049,-0.1015,9.8088
1770803070.695925,0.00197,-0.00212,-0.00028,-0.0595,-0.0988,9.8211
1770803070.7399392,-0.00071,0.00267,6e-05,-0.0339,-0.0897,9.8029
1770803070.7999392,0.00042,-0.00164,-0.00041,-0.0362,-0.0884,9.8082
1770803070.8398118,-0.00182,0.0021,0.00023,-0.0382,-0.0918,9.8057
1770803070.890854,0.00066,-0.00144,-4e-05,-0.0499,-0.0899,9.8078
1770803070.9396095,0.00119,0.00047,0.00021,-0.0422,-0.0915,9.8057
1770803070.9936337,6e-05,0.0003,-0.00015,-0.0436,-0.0921,9.8064
1770803071.041275,0.0,0.0002,0.00023,-0.0191,-0.0771,9.8186
1770803071.0912998,0.00033,-0.00072,0.0003,-0.0373,-0.0865,9.8064
1770803071.140014,-3e-05,-0.00452,8e-05,-0.0446,-0.0972,9.8154
1770803071.1913762,0.00012,0.00054,0.00056,-0.0612,-0.0959,9.8125
1770803071.2401447,0.00074,-0.00412,-0.00012,-0.0636,-0.086,9.819
1770803071.2910545,-5e-05,-0.0003,0.00067,-0.0644,-0.0978,9.8074
1770803071.3425288,-0.00022,-0.00151,0.00011,-0.0635,-0.1006,9.8209
1770803071.3916357,0.00248,-0.00244,0.00022,-0.0545,-0.0909,9.8078
1770803071.4393454,-0.00061,0.00185,0.00063,-0.0496,-0.0928,9.8164
1770803071.4902558,0.00146,-0.00314,0.00029,-0.0465,-0.0965,9.8085
1770803071.540661,0.00107,-0.00471,-0.00082,-0.0552,-0.0977,9.8124
1770803071.5908344,0.00162,-0.00281,-0.00023,-0.0476,-0.0938,9.8177
1770803071.6415396,0.00047,-0.00119,-0.00025,-0.0486,-0.0921,9.8023
1770803071.6970375,0.00017,0.00075,0.00018,-0.0439,-0.0934,9.8243
1770803071.7468429,-0.00021,0.00018,0.00043,-0.0355,-0.092,9.801
1770803071.7904387,-0.00157,0.00344,2e-05,-0.0393,-0.0958,9.8151
1770803071.8404582,-0.00103,0.00474,0.00113,-0.0233,-0.0882,9.8075
1770803071.89178,0.00049,0.00062,-0.00016,-0.0141,-0.0969,9.8155
1770803071.9418557,0.00025,0.00121,0.00038,-0.0128,-0.0967,9.8073
1770803071.9923062,0.00164,-0.00406,-0.00035,-0.0324,-0.0943,9.8152
1770803072.0407202,0.00116,-0.00153,-0.00045,-0.0312,-0.089,9.8083
1770803072.0919886,0.0019,-0.00312,-0.00041,-0.0287,-0.0908,9.7987
1770803072.1403775,0.00022,0.00098,0.0004,-0.0386,-0.0833,9.8119
1770803072.1909275,0.00177,-0.00432,-0.0009,-0.041,-0.0809,9.8079
1770803072.2403984,0.00072,-0.00135,-0.00024,-0.0386,-0.0921,9.8091
1770803072.2908337,0.00117,-0.00085,0.0002,-0.0422,-0.098,9.8072
1770803072.3421202,0.00036,-0.00131,-0.00021,-0.0391,-0.0921,9.8113
1770803072.3894763,-0.00156,0.00359,0.0002,-0.0392,-0.0911,9.8078
1770803072.443423,-0.00199,0.00135,-0.0002,-0.0381,-0.0954,9.8137
1770803072.4903107,-0.00045,0.0005,0.00016,-0.0323,-0.0939,9.8141
1770803072.540994,-0.00173,0.00249,-0.00045,-0.0322,-0.0937,9.8046
1770803072.590514,-0.00172,0.00179,0.00029,-0.0214,-0.1001,9.8114
1770803072.6454334,-5e-05,-0.00165,-0.00033,-0.0211,-0.0841,9.6803
1770803072.6903553,-0.00014,-0.00137,-8e-05,-0.0438,-0.0911,9.8298
1770803072.744273,0.00144,-0.00413,-0.00018,-0.027,-0.1015,9.8246
1770803072.7901075,-0.00058,0.00072,0.00025,-0.0483,-0.1039,9.8117
