Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1771240787.505295,0.00042,-0.00106,-0.0001,-0.0297,-0.1569,9.8185
1771240787.5555062,0.00035,0.00415,0.00046,0.0339,-0.0659,9.7899
1771240787.595657,0.00125,-0.00182,0.00011,0.0223,-0.0765,9.8201
1771240787.6471214,0.00112,-0.00032,-0.00046,0.0066,-0.07,9.8091
1771240787.6927578,0.00108,-0.00277,-0.00018,0.0029,-0.0533,9.8589
1771240787.7589045,0.00043,-0.00592,-0.00023,0.0149,-0.1422,9.7818
1771240787.796996,-0.00018,0.00403,0.00016,-0.0006,-0.1112,9.7896
1771240787.862949,-0.00112,0.0001,0.00021,0.0065,-0.0584,9.8141
1771240787.9125695,-0.00127,0.00341,0.00053,0.0076,-0.0951,9.8183
1771240787.9429867,-0.00107,0.00127,0.00012,-0.0169,-0.0677,9.8089
1771240787.998649,0.00058,-0.00146,-0.0007,0.0176,-0.141,9.793
1771240788.0490916,0.00159,-0.00484,0.00013,-0.0083,-0.0739,9.813
1771240788.09529,-0.00084,0.00388,0.00081,0.0285,-0.1378,9.8018
1771240788.1468096,0.00115,-0.00065,-0.00042,-0.0262,-0.0525,9.7997
1771240788.252384,-0.00137,-0.0004,-0.00029,-0.0461,-0.0423,9.8441
1771240788.3032222,0.00022,2e-05,0.00068,0.0631,-0.1504,9.7915
1771240788.3426747,0.00121,0.00034,0.00019,-0.048,-0.0397,9.8281
1771240788.402547,-0.00101,0.00031,0.00039,0.0156,-0.099,9.7973
1771240788.4486618,-0.00318,0.00794,0.00062,0.0226,-0.1059,9.8134
1771240788.5043004,-0.00057,-0.00345,-0.00073,-0.0279,-0.0586,9.8118
1771240788.5512974,-0.0015,0.00563,0.00028,0.0327,-0.1159,9.7907
1771240788.598031,-0.00034,-0.00109,-6e-05,-0.0089,-0.0528,9.8182
1771240788.6445968,6e-05,0.00146,0.00026,-0.008,-0.1315,9.8023
1771240788.695261,0.00089,-0.00062,0.0,-0.03,-0.0822,9.823
1771240788.7433906,-0.0012,0.00178,0.00027,0.0609,-0.0607,9.8878
1771240788.7937665,-0.00049,0.00038,-0.00023,0.0949,-0.0631,9.8713
1771240788.845731,0.00077,-0.00111,-0.00045,-0.0696,-0.1183,9.7652
1771240788.8930676,-0.00044,-0.00216,-0.00048,-0.1388,-0.0844,9.7292
1771240788.9427378,0.00025,-0.00123,0.00113,0.0161,-0.0855,9.8284
1771240788.9994605,0.00268,-0.00097,2e-05,0.0805,-0.0646,9.8498
1771240789.0432086,0.00095,-0.00533,-0.00099,0.0062,-0.0477,9.816
1771240789.101409,0.00104,0.00071,-0.00025,-0.0166,-0.0506,9.7538
1771240789.1423004,-0.00283,-0.00073,-0.00018,-0.0437,-0.0969,9.8105
1771240789.1951497,0.00052,0.00032,0.00035,0.0357,-0.1509,9.8175
1771240789.2422123,-0.00126,0.0016,0.00035,0.0086,-0.0713,9.832
1771240789.2953186,0.00073,0.00194,0.0006,0.0142,-0.1252,9.8056
1771240789.3422477,0.00106,0.00061,-0.00043,-0.0194,-0.0505,9.8023
1771240789.3978474,-0.00124,-0.00034,0.00025,-0.0075,-0.096,9.8067
1771240789.4425077,0.00083,0.00167,0.00024,0.0194,-0.1128,9.8134
1771240789.4993472,0.00063,-0.00258,-0.00036,0.0086,-0.0911,9.8107
1771240789.5421858,0.00091,0.00293,-0.00025,0.0143,-0.1162,9.8117
