Topic:,/fixposition/fpa/odomenu
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z,fusion_status,imu_bias_status,gnss1_status,gnss2_status,wheelspeed_status
1771241283.3967133,303.5415,174.3165,-2.259,0.004243,-0.00533,-0.155099,-0.987875,3.428,-0.0065,-0.0169,-0.02644,0.07334,0.00143,0.495,0.6239,8.9444,4,1,8,8,-1
1771241283.441119,303.7055,174.3689,-2.2625,0.005321,-0.007746,-0.154843,-0.987894,3.4506,-0.0098,-0.0108,-0.02507,0.13157,-0.01654,0.1469,-0.3936,9.8538,4,1,8,8,-1
1771241283.4939013,303.8702,174.4209,-2.2664,0.006211,-0.011846,-0.15445,-0.98791,3.4446,-0.0367,0.0109,0.00111,0.16415,-0.0074,-1.3446,-1.4792,9.5157,4,1,8,8,-1
1771241283.5425549,304.0337,174.4709,-2.27,0.006406,-0.013478,-0.154463,-0.987886,3.4024,-0.0403,0.0297,-0.00398,0.04239,-0.00088,-0.3673,0.3158,9.687,4,1,8,8,-1
1771241283.5936468,304.179,174.5117,-2.2677,0.007422,-0.015793,-0.154258,-0.987877,3.4581,-0.0095,0.018,-0.03025,0.19489,-0.0076,2.4616,-0.1077,8.4505,4,1,8,8,-1
1771241283.641119,304.345,174.5642,-2.2733,0.008354,-0.019327,-0.154336,-0.987794,3.481,-0.0343,0.0353,-0.00792,0.19451,-0.00769,0.1331,-1.5305,10.0261,4,1,8,8,-1
1771241283.6954005,304.5105,174.6146,-2.2786,0.008604,-0.023786,-0.154201,-0.987716,3.4081,-0.0679,0.075,0.02412,0.03434,0.00665,-2.6382,-1.7336,9.9281,4,1,8,8,-1
1771241283.7432134,304.6546,174.6273,-2.2616,0.008228,-0.023053,-0.153947,-0.987776,3.2838,-0.0482,0.0918,0.00095,-0.16104,-0.01037,-3.5284,1.4914,9.927,4,1,8,8,-1
1771241283.79295,304.8121,174.6735,-2.265,0.00743,-0.02028,-0.153714,-0.987879,3.2717,-0.1185,0.0548,0.04397,-0.13531,-0.00866,-1.088,-2.2622,8.8704,4,1,8,8,-1
1771241283.8412006,304.972,174.7184,-2.2709,0.007425,-0.024854,-0.153381,-0.987827,3.4329,-0.0578,0.0118,0.01789,0.51656,0.02783,6.029,3.2328,8.1801,4,1,8,8,-1
1771241283.8934884,305.1347,174.7659,-2.2784,0.005681,-0.020012,-0.154877,-0.987715,3.3902,-0.1566,-0.0236,0.01363,0.08917,0.03129,7.7156,-0.9683,8.2909,4,1,8,8,-1
1771241283.9478736,305.2939,174.8115,-2.2859,0.004859,-0.016389,-0.155251,-0.987727,3.223,-0.16,-0.0413,-0.01287,-0.59854,0.00466,-3.1793,-3.305,9.2836,4,1,8,8,-1
1771241283.994123,305.451,174.8586,-2.2921,0.005124,-0.017592,-0.154178,-0.987873,3.3083,-0.0922,0.0123,0.00287,-0.17172,-0.01896,-0.8169,-2.5747,11.3271,4,1,8,8,-1
1771241284.0434747,305.6112,174.9052,-2.2972,0.004371,-0.01554,-0.153688,-0.987988,3.3811,-0.0868,0.0091,0.01997,0.0607,-0.01059,0.6207,-1.6002,10.2072,4,1,8,8,-1
1771241284.0957878,305.7734,174.9531,-2.3015,0.004064,-0.015177,-0.153591,-0.98801,3.406,-0.0502,0.0228,-0.0126,0.06412,-0.00196,0.3241,0.0467,9.8431,4,1,8,8,-1
1771241284.1420567,305.9359,175.0024,-2.3051,0.004178,-0.012937,-0.153771,-0.988013,3.408,-0.0447,0.0159,-0.02053,-0.07303,-0.00301,1.1451,-0.1732,9.5914,4,1,8,8,-1
1771241284.197473,306.0999,175.0515,-2.3091,0.004307,-0.012753,-0.153661,-0.988032,3.4384,-0.0765,0.0064,0.00082,-0.0346,-0.00317,0.8791,-0.6848,9.6139,4,1,8,8,-1
1771241284.2413132,306.2657,175.1002,-2.3141,0.00394,-0.012553,-0.153572,-0.98805,3.4626,-0.0961,-0.0307,0.01477,0.0011,0.00454,-0.5098,-1.144,8.6785,4,1,8,8,-1
1771241284.299045,306.4165,175.1641,-2.2993,0.003716,-0.010559,-0.153394,-0.988102,3.4594,-0.0485,-0.0684,-0.00869,-0.05253,-0.00631,0.6827,-0.1205,9.1479,4,1,8,8,-1
1771241284.3412085,306.5836,175.2152,-2.3079,0.003939,-0.009985,-0.153402,-0.988106,3.5678,-0.0407,-0.1476,-0.0138,0.05537,0.00098,2.8994,-0.8438,7.0129,4,1,8,8,-1
1771241284.3969872,306.7583,175.2688,-2.3212,0.004817,-0.013723,-0.153244,-0.988081,3.7007,-0.047,-0.1773,0.00455,0.17404,-0.01628,-0.0698,-1.7641,9.2238,4,1,8,8,-1
1771241284.4418833,306.9339,175.3199,-2.3335,0.004877,-0.018606,-0.153065,-0.988029,3.5965,-0.1133,-0.0561,0.04896,0.11852,0.00312,-3.3003,-1.535,11.9349,4,1,8,8,-1
1771241284.4991572,307.1022,175.3689,-2.3411,0.004025,-0.015453,-0.153296,-0.988051,3.5104,0.0286,-0.0192,-0.00272,0.17192,-0.01494,5.1285,3.0946,9.9722,4,1,8,8,-1
1771241284.5434473,307.2556,175.4354,-2.3489,0.003938,-0.01268,-0.153321,-0.988087,3.412,-0.0062,0.06,0.01564,-0.43032,-0.01421,-1.4753,2.9335,11.7356,4,1,8,8,-1
1771241284.6033158,307.4223,175.4869,-2.3495,0.004052,-0.013616,-0.153352,-0.98807,3.4765,-0.0067,0.118,0.02097,-0.26481,0.02481,-2.7356,2.8558,11.6921,4,1,8,8,-1
1771241284.6422298,307.5907,175.5389,-2.3482,0.004146,-0.014373,-0.153232,-0.988077,3.5438,-0.0481,0.1423,-0.0002,0.10121,-0.00322,-2.0865,0.7351,10.674,4,1,8,8,-1
1771241284.6913655,307.7476,175.5949,-2.34,0.003601,-0.014353,-0.153251,-0.988077,3.5416,-0.083,0.1449,0.014,0.09293,-0.0007,-0.696,0.0829,9.6935,4,1,8,8,-1
1771241284.768287,307.9168,175.6454,-2.3378,0.002927,-0.013387,-0.153246,-0.988093,3.5577,-0.0723,0.1273,0.0059,0.10276,-0.01039,1.7556,-0.3853,9.1426,4,1,8,8,-1
1771241284.7914774,308.0863,175.6961,-2.3367,0.00232,-0.012589,-0.153299,-0.988097,3.5299,-0.0732,0.0945,0.01188,-0.05437,-0.00118,0.1834,-0.8325,8.704,4,1,8,8,-1
1771241284.852158,308.2479,175.7461,-2.3345,0.002147,-0.011845,-0.153375,-0.988095,3.525,-0.0345,0.0535,-0.00063,-0.07222,0.00926,-0.8846,-1.0966,8.83,4,1,8,8,-1
1771241284.896655,308.4161,175.7986,-2.3367,0.002308,-0.010376,-0.153505,-0.988091,3.5233,0.0053,0.0148,-0.02604,-0.05417,0.00417,-0.7978,0.4611,9.5911,4,1,8,8,-1
1771241284.9420812,308.5831,175.8521,-2.3402,0.002674,-0.008416,-0.153521,-0.988106,3.4982,0.0028,-0.0222,-0.02579,-0.03164,-0.00278,-0.951,-0.4408,9.5934,4,1,8,8,-1
1771241284.993558,308.7458,175.9028,-2.3529,0.002271,-0.004714,-0.153531,-0.98813,3.4106,-0.0279,-0.0917,-0.01273,-0.21941,0.00299,-1.0204,-0.1516,9.3102,4,1,8,8,-1
